,rank,precision,generator_name,base,row_size
449,27,inf,big_gauss,10.0,210
450,33,inf,big_gauss,10.0,210
451,40,inf,big_gauss,10.0,210
452,47,inf,big_gauss,10.0,210
453,53,inf,big_gauss,10.0,210
454,60,inf,big_gauss,10.0,210
455,20,2.928214585264864e+16,gauss_gauss,10.0,210
456,27,inf,gauss_gauss,10.0,210
457,33,inf,gauss_gauss,10.0,210
458,40,inf,gauss_gauss,10.0,210
459,47,inf,gauss_gauss,10.0,210
460,53,inf,gauss_gauss,10.0,210
461,60,inf,gauss_gauss,10.0,210
462,20,125078922889.3077,big_gauss,10.0,280
463,27,inf,big_gauss,10.0,280
464,33,inf,big_gauss,10.0,280
465,40,inf,big_gauss,10.0,280
466,47,inf,big_gauss,10.0,280
467,53,inf,big_gauss,10.0,280
468,60,inf,big_gauss,10.0,280
469,20,121802925057.25633,gauss_gauss,10.0,280
470,27,inf,gauss_gauss,10.0,280
471,33,inf,gauss_gauss,10.0,280
472,40,inf,gauss_gauss,10.0,280
473,47,inf,gauss_gauss,10.0,280
474,53,inf,gauss_gauss,10.0,280
475,60,inf,gauss_gauss,10.0,280
476,20,104034900221.39867,big_gauss,10.0,350
477,27,inf,big_gauss,10.0,350
478,33,inf,big_gauss,10.0,350
479,40,inf,big_gauss,10.0,350
480,47,inf,big_gauss,10.0,350
481,53,inf,big_gauss,10.0,350
482,60,inf,big_gauss,10.0,350
483,20,100016751406.00275,gauss_gauss,10.0,350
484,27,inf,gauss_gauss,10.0,350
485,33,inf,gauss_gauss,10.0,350
486,40,inf,gauss_gauss,10.0,350
487,47,inf,gauss_gauss,10.0,350
488,53,inf,gauss_gauss,10.0,350
489,60,inf,gauss_gauss,10.0,350
